1 0
0.98 0.00366914725671721
0.96 0.00704640843726173
0.94 0.0101286746558437
0.92 0.0129199147875551
0.9 0.0154300140360364
0.88 0.0176737059889559
0.86 0.0196695954877613
0.84 0.0214392695561951
0.82 0.0230064935426414
0.8 0.0243964895333938
0.78 0.0256352939861459
0.76 0.0267491914138565
0.74 0.0277642208168007
0.72 0.0287057514128521
0.7 0.0295981240501153
0.68 0.0304643544986292
0.66 0.0313258946048292
0.64 0.032202447048682
0.62 0.0331118291624158
0.6 0.0340698809434169
0.58 0.0350904120117186
0.56 0.0361851818111667
0.54 0.037363906815341
0.52 0.0386342878517181
0.5 0.040002049869905
0.48 0.0414709855111125
0.46 0.0430429926306409
0.44 0.0447180944062
0.42 0.0464944287249051
0.4 0.0483681910281753
0.38 0.0503335114861304
0.36 0.0523822429474977
0.34 0.0545036300818763
0.32 0.056683821754762
0.3 0.0589051767859714
0.28 0.0611452959626169
0.26 0.06337568740032
0.24 0.0655599327522188
0.22 0.0676511589130321
0.2 0.06958851627785
0.18 0.0712921863377008
0.16 0.0726561186216291
0.14 0.0735370762516645
0.12 0.0737372846013068
0.1 0.0729750626315641
0.08 0.0708303668607966
0.06 0.0666297774575463
0.04 0.0591497218451986
0.02 0.045516611300363
0 0
0.02 -0.0171930495728182
0.04 -0.0256465307945966
0.06 -0.0326267070624771
0.08 -0.0387218557235237
0.1 -0.0441768555889951
0.12 -0.0491454897436258
0.14 -0.0537429309575736
0.16 -0.0580600091360286
0.18 -0.0621674004001843
0.2 -0.0661169296603041
0.22 -0.0699422050748364
0.24 -0.073659323503086
0.26 -0.0772678809074066
0.28 -0.0807523344765466
0.3 -0.0840836916729176
0.32 -0.087221475051685
0.34 -0.0901159037996296
0.36 -0.0927102326487069
0.38 -0.0949431915372219
0.4 -0.0967514731267223
0.42 -0.0980722191713601
0.44 -0.0988454604198875
0.46 -0.0990164680785124
0.48 -0.0985379778480813
0.5 -0.0973722501881894
0.52 -0.0954929327873854
0.54 -0.0928866932704558
0.56 -0.089554591987295
0.58 -0.085513166336008
0.6 -0.0807951995043919
0.62 -0.0754501477934524
0.64 -0.0695442018350982
0.66 -0.0631599580513622
0.68 -0.0563956776394344
0.7 -0.0493641112181513
0.72 -0.0421908680481409
0.74 -0.0350123094487182
0.76 -0.0279729466876669
0.78 -0.0212223242219092
0.8 -0.0149113697234841
0.82 -0.00918819284117757
0.84 -0.00419331512784152
0.86 -5.43140106243581e-05
0.88 0.00312013590075515
0.9 0.00524684048109244
0.92 0.00627529867803493
0.94 0.00619556562183103
0.96 0.00504678153074892
0.98 0.00292638137864701
1 0
